Accuracy,F1Score,FalseNegatives,FalsePositives,Precision,Recall,TrueNegatives,TruePositives,loss,val_Accuracy,val_F1Score,val_FalseNegatives,val_FalsePositives,val_Precision,val_Recall,val_TrueNegatives,val_TruePositives,val_loss,Model Type,Epoch
0.9281487464904785,"tf.Tensor([0.90770894 0.9411765 ], shape=(2,), dtype=float32)",78,99,0.9177740812301636,0.9340659379959106,1084,1105,0.16534017026424408,0.7340067625045776,"tf.Tensor([0.68016195 0.7723343 ], shape=(2,), dtype=float32)",88,65,0.7627737522125244,0.7037037014961243,232,209,0.6540639996528625,Alternative_CNN,7
0.9712595343589783,"tf.Tensor([0.9639065 0.9761235], shape=(2,), dtype=float32)",34,47,0.9607023596763611,0.9712595343589783,1136,1149,0.092230491,0.7811447978019714,"tf.Tensor([0.69767433 0.828496  ], shape=(2,), dtype=float32)",60,73,0.7645161151885986,0.7979797720909119,224,237,0.7635766863822937,Alternative_CNN,8
0.9873203635215759,"tf.Tensor([0.98399144 0.9895031 ], shape=(2,), dtype=float32)",16,25,0.9790268540382385,0.9864750504493713,1158,1167,0.052419327199459076,0.7340067625045776,"tf.Tensor([0.6748971  0.77492875], shape=(2,), dtype=float32)",83,75,0.7404844164848328,0.7205387353897095,222,214,0.8633351922035217,Alternative_CNN,9
0.9974640607833862,"tf.Tensor([0.9968321 0.9978858], shape=(2,), dtype=float32)",7,12,0.9898989796638489,0.9940828680992126,1171,1176,0.028071532025933266,0.7609427571296692,"tf.Tensor([0.675799  0.8106666], shape=(2,), dtype=float32)",64,71,0.7664473652839661,0.7845118045806885,226,233,1.0122101306915283,Alternative_CNN,10
0.9949281215667725,"tf.Tensor([0.99365747 0.99577457], shape=(2,), dtype=float32)",6,5,0.9957698583602905,0.9949281215667725,1178,1177,0.015918824821710587,0.7676767706871033,"tf.Tensor([0.67906976 0.81794184], shape=(2,), dtype=float32)",73,72,0.7567567825317383,0.7542087435722351,225,224,1.1302940845489502,Alternative_CNN,11
0.9974640607833862,"tf.Tensor([0.9968321 0.9978858], shape=(2,), dtype=float32)",4,5,0.9957770109176636,0.9966187477111816,1178,1179,0.010467469692230225,0.7946127653121948,"tf.Tensor([0.6934673 0.8455696], shape=(2,), dtype=float32)",61,72,0.7662337422370911,0.7946127653121948,225,236,1.3151836395263672,Alternative_CNN,12
0.9974640607833862,"tf.Tensor([0.9968253  0.99788874], shape=(2,), dtype=float32)",3,3,0.9974640607833862,0.9974640607833862,1180,1180,0.017066217958927155,0.7744107842445374,"tf.Tensor([0.6731707  0.82776344], shape=(2,), dtype=float32)",65,70,0.7682119011878967,0.7811447978019714,227,232,1.0289292335510254,Alternative_CNN,13
0.9974640607833862,"tf.Tensor([0.9968253  0.99788874], shape=(2,), dtype=float32)",6,2,0.9983036518096924,0.9949281215667725,1181,1177,0.007077133,0.7575757503509521,"tf.Tensor([0.6697247  0.80851054], shape=(2,), dtype=float32)",66,72,0.7623762488365173,0.7777777910232544,225,231,1.209230661392212,Alternative_CNN,14
0.9974640607833862,"tf.Tensor([0.9968253  0.99788874], shape=(2,), dtype=float32)",3,3,0.9974640607833862,0.9974640607833862,1180,1180,0.007790592,0.7744107842445374,"tf.Tensor([0.6794258 0.825974 ], shape=(2,), dtype=float32)",64,71,0.7664473652839661,0.7845118045806885,226,233,1.253244161605835,Alternative_CNN,15
0.9974640607833862,"tf.Tensor([0.9968321 0.9978858], shape=(2,), dtype=float32)",3,5,0.9957805871963501,0.9974640607833862,1178,1180,0.015729757025837898,0.7575757503509521,"tf.Tensor([0.66037726 0.81151825], shape=(2,), dtype=float32)",66,71,0.7649006843566895,0.7777777910232544,226,231,1.2192327976226807,Alternative_CNN,16
0.9983093738555908,"tf.Tensor([0.9978813 0.9985935], shape=(2,), dtype=float32)",3,2,0.9983079433441162,0.9974640607833862,1181,1180,0.007815753,0.7609427571296692,"tf.Tensor([0.6816143 0.8086253], shape=(2,), dtype=float32)",68,73,0.7582781314849854,0.7710437774658203,224,229,1.0981484651565552,Alternative_CNN,17
0.995773435,"tf.Tensor([0.99470896 0.99648124], shape=(2,), dtype=float32)",5,4,0.9966158866882324,0.995773435,1179,1178,0.011872631497681141,0.7710437774658203,"tf.Tensor([0.69642854 0.8162161 ], shape=(2,), dtype=float32)",71,69,0.7661017179489136,0.7609427571296692,228,226,1.193796992301941,Alternative_CNN,18
0.9983093738555908,"tf.Tensor([0.9978902 0.9985895], shape=(2,), dtype=float32)",3,2,0.9983079433441162,0.9974640607833862,1181,1180,0.006024484,0.7777777910232544,"tf.Tensor([0.66999996 0.8324873 ], shape=(2,), dtype=float32)",67,63,0.7849829196929932,0.7744107842445374,234,230,1.4137009382247925,Alternative_CNN,19
0.9974640607833862,"tf.Tensor([0.9968253  0.99788874], shape=(2,), dtype=float32)",3,3,0.9974640607833862,0.9974640607833862,1180,1180,0.008051262,0.7710437774658203,"tf.Tensor([0.6599999 0.8274111], shape=(2,), dtype=float32)",77,59,0.7885304689407349,0.7407407164573669,238,220,1.2148443460464478,Alternative_CNN,20
